2017-04-18 15:03:38 INFO  BlockManagerInfo:54 - Added rdd_2_1 in memory on 10.142.33.143:38374 (size: 11.6 KB, free: 366.2 MB)
2017-04-18 15:03:38 INFO  Executor:54 - Finished task 3.0 in stage 0.0 (TID 3). 2314 bytes result sent to driver
2017-04-18 15:03:38 INFO  Executor:54 - Finished task 1.0 in stage 0.0 (TID 1). 2401 bytes result sent to driver
2017-04-18 15:03:38 INFO  Executor:54 - Finished task 0.0 in stage 0.0 (TID 0). 2314 bytes result sent to driver
2017-04-18 15:03:38 INFO  Executor:54 - Finished task 2.0 in stage 0.0 (TID 2). 2401 bytes result sent to driver
2017-04-18 15:03:38 INFO  TaskSetManager:54 - Finished task 2.0 in stage 0.0 (TID 2) in 201 ms on localhost (executor driver) (1/4)
2017-04-18 15:03:38 INFO  TaskSetManager:54 - Finished task 0.0 in stage 0.0 (TID 0) in 230 ms on localhost (executor driver) (2/4)
2017-04-18 15:03:38 INFO  TaskSetManager:54 - Finished task 1.0 in stage 0.0 (TID 1) in 207 ms on localhost (executor driver) (3/4)
2017-04-18 15:03:38 INFO  TaskSetManager:54 - Finished task 3.0 in stage 0.0 (TID 3) in 201 ms on localhost (executor driver) (4/4)
2017-04-18 15:03:38 INFO  TaskSchedulerImpl:54 - Removed TaskSet 0.0, whose tasks have all completed, from pool 
2017-04-18 15:03:38 INFO  DAGScheduler:54 - ShuffleMapStage 0 (map at FeatureRDD.scala:129) finished in 0.241 s
2017-04-18 15:03:38 INFO  DAGScheduler:54 - looking for newly runnable stages
2017-04-18 15:03:38 INFO  DAGScheduler:54 - running: Set()
2017-04-18 15:03:38 INFO  DAGScheduler:54 - waiting: Set(ResultStage 1)
2017-04-18 15:03:38 INFO  DAGScheduler:54 - failed: Set()
2017-04-18 15:03:38 INFO  DAGScheduler:54 - Submitting ResultStage 1 (MapPartitionsRDD[6] at map at FeatureRDD.scala:131), which has no missing parents
2017-04-18 15:03:38 INFO  MemoryStore:54 - Block broadcast_2 stored as values in memory (estimated size 3.9 KB, free 366.0 MB)
2017-04-18 15:03:38 INFO  MemoryStore:54 - Block broadcast_2_piece0 stored as bytes in memory (estimated size 2.3 KB, free 366.0 MB)
2017-04-18 15:03:38 INFO  BlockManagerInfo:54 - Added broadcast_2_piece0 in memory on 10.142.33.143:38374 (size: 2.3 KB, free: 366.2 MB)
2017-04-18 15:03:38 INFO  SparkContext:54 - Created broadcast 2 from broadcast at DAGScheduler.scala:996
2017-04-18 15:03:38 INFO  DAGScheduler:54 - Submitting 4 missing tasks from ResultStage 1 (MapPartitionsRDD[6] at map at FeatureRDD.scala:131)
2017-04-18 15:03:38 INFO  TaskSchedulerImpl:54 - Adding task set 1.0 with 4 tasks
2017-04-18 15:03:38 INFO  TaskSetManager:54 - Starting task 1.0 in stage 1.0 (TID 4, localhost, executor driver, partition 1, PROCESS_LOCAL, 5750 bytes)
2017-04-18 15:03:38 INFO  TaskSetManager:54 - Starting task 2.0 in stage 1.0 (TID 5, localhost, executor driver, partition 2, PROCESS_LOCAL, 5750 bytes)
2017-04-18 15:03:38 INFO  TaskSetManager:54 - Starting task 3.0 in stage 1.0 (TID 6, localhost, executor driver, partition 3, PROCESS_LOCAL, 5750 bytes)
2017-04-18 15:03:38 INFO  TaskSetManager:54 - Starting task 0.0 in stage 1.0 (TID 7, localhost, executor driver, partition 0, ANY, 5750 bytes)
